ResponseID,EndDate,Finished,consent,dem1,dem1_TEXT,dem2,dem2b,dem3,dem4,dem4_TEXT,dem5,dem5_TEXT,dem6,dem7,dem7a,dem7_1_59,dem7_1_60,dem7_1_61,dem7_1_62,dem7_1_63,dem7_1_64,dem7_1_65,dem7_1a_59,dem7_1a_60,dem7_1a_61,dem7_1a_62,dem7_1a_63,dem7_1a_64,dem7_1a_65,dem8,dem9,DR_title,DRtext,DR_equip_1,DR_equip_2,DR_equip_3,DR_equip_4,DR_equip_5,DR_genetic_1,DR_genetic_2,DR_genetic_3,DRtext2,DR_general_1,DR_general_2,DR_general_3,DR_general_4,DR_general_5,DR_general_6,DR_general_7,DR_general_8,DR_general_9,DR_general_10,DR_general_11,DRtext3,DR_harvest_1,DR_harvest_2,DR_harvest_3,DR_harvest_4,DR_harvest_5,DR_harvest_6,DR_person_1,DR_person_2,DR_person_3,DR_person_4,DR_person_5,IB_title,IB_text,IB_equip_1,IB_equip_2,IB_equip_3,IB_equip_4,IB_equip_5,IB_genetic_1,IB_genetic_2,IB_genetic_3,IB_text2,IB_general_1,IB_general_2,IB_general_3,IB_general_4,IB_general_5,IB_general_6,IB_general_7,IB_general_8,IB_general_9,IB_general_10,IB_general_11,IB_text3,IB_harvest_1,IB_harvest_2,IB_harvest_3,IB_harvest_4,IB_harvest_5,IB_harvest_6,IB_person_1,IB_person_2,IB_person_3,IB_person_4,IB_person_5,X,TimeTaken,test
R_1rOlek3aFpilYXX,1/22/15 9:58,1,1,1,,3,,4,2,,1,,2,2,,0,0,0,0,0,1,0,,,,,,,,4,1,1,1,,,,3,,,3,,1,2,,2,,,3,,3,,,,1,,,,,,3,3,,,,3,1,1,,,,,,,2.452,,1,,,,,,,3.263,,,,,1,,3.07,,,,,,,,,1.882,,6.716666667,0
R_1dcoUjIfB4sifYI,1/22/15 10:02,1,1,2,,,3,,,,,,,,,0,0,0,0,0,1,0,,,,,,,,,,1,1,,,,2,,,2,,1,2,,,,,2,,,2,,,1,,,,2,,,,2,,,,1,1,,,,,,2.613,,,1,,,3.548,,,,,,,,,1,,,3.151,,,,,,,,3.097,,4.016666667,0
R_31NjCPC8rxZxdEb,1/22/15 10:06,1,1,3,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,1,1,1,,,2,,,,2,,1,,,,,3,,3,,,,,1,3,,3,,,,,3,,,,1,1,,,2.43,,,,,3.446,1,1.091,,,,,,,,,,,1,,,,,2.425,,,,,,3.29,,4.083333333,0
R_ZdUEOggGP6v74D7,1/22/15 10:08,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,4,,,,,,,,,,,1,4,,,,,,,,,,,1,1,,,,3.194,,,,,1,,,,,,,,1.468,,,,1,,,,,,3.785,2.93,,,,,,1.033333333,0
R_3imMtMWC7dbez8o,1/22/15 10:21,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,3,,,,,3,,,1,3,,,,,,,,,4,,1,1,2.894,,,,,,,,1,,,2.868,,,,,,,,,1,,,,,2.707,,,,,,2.835,,1.166666667,0
R_1ibz0OpnL482PID,1/22/15 10:23,1,1,3,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,,2,1,1,,,2,,,2,,,1,,,3,,,,3,,,,,1,,,2,,,,,,2,,,1,1,3.608,,,,,3.581,,,1,,,,,,,,,,,3.104,1,,,,3.361,,,,3.361,,,,,0.966666667,0
R_30pcqlHnicq4b7T,1/22/15 10:30,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,,,,,,,,1,,3,,,,3,3,2,,,,1,1,,,,,,,2,,,,1,1,,,2.503,,,,,,1,1.794,,,,,,,,,,,1,,2.707,,,,,2.444,,,,,,3.433333333,0
R_XLlP5GfPHEJc2LD,1/22/15 10:31,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,,,1,,,2,2,,,,2,,,,1,,,,,,4,,,4,,,1,1,2.691,,,,,,2.943,,1,,2.599,,,,,,,,,,1,,1.886,,,,,2.352,,,,,,1.25,0
R_2vii1BcTy8kdgsk,1/22/15 10:55,1,1,1,,6,,4,2,,2,,3,2,,0,1,0,0,0,0,0,,,,,,,,4,1,1,1,1,,,3,1,2,,3,1,2,4,,,,,,,,,,1,,,,,,,,,,2,,1,1,,,,,,,,3.011,1,,,,,,,,2.306,,,,1,,,,2.28,,,2.376,3.285,,,,,5.65,0
R_20Vw97tWh5mW7Uw,1/22/15 10:59,1,1,2,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,,,,4,,,,1,,,,,,,,,3,,,1,1,,,,,,,,3.548,1,,,,,,,,2.484,,,,1,,,,,,3.043,,3.306,,,,,1.483333333,0
R_z6bCLyLmNxXYZ5D,1/22/15 11:25,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,2,1,,,,,,,,4,,,,1,3,,,,,,,,,,,1,1,,,,,,,,1.876,1,,,,,,,,2.812,,,,1,,,,,,2.656,,3.505,,,,,23.81666667,0
R_xzvOv6xRn0MzBzb,1/22/15 11:26,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,3,1,3,,,,,,,,,,,1,3,,,,,,,,,,,1,1,,,,,,,3.731,,1,,,,,,,,,3.344,,,1,,,,,2.511,,,3.048,,,,,1.15,0
R_TcItthbGdEgTwxX,1/22/15 13:04,1,1,1,,1,,3,2,,5,,3,2,,0,0,0,1,0,0,0,,,,,,,,5,2,1,1,2,3,2,3,2,2,3,2,1,2,3,3,3,2,2,2,2,3,2,2,1,2,2,3,3,2,3,2,2,3,3,3,1,1,1.763,1.839,1.995,2.065,2.091,2.048,1.925,2.177,1,2.091,1.925,2.29,2.005,2.161,1.806,2.134,1.866,2.14,1.882,2.054,1,2.081,1.909,2.048,1.919,2.28,1.978,2.065,1.796,2.253,2.048,1.849,,6.166666667,0
